sample,subgroup,outcome,estimator,vce,event_time,estimate,se,ci_low,ci_high,p_value,row
age3_cno4,<18 to 29,ln_parados,sdid,placebo,7,.0232148525430313,.0385972123979554,-.0524356837569613,.0988653888430238,111,9
age3_cno4,<18 to 29,ln_parados,sdid,placebo,8,.0242227281987827,.0326106072597614,-.0396940620303496,.088139518427915,111,10
age3_cno4,<18 to 29,ln_parados,sdid,placebo,9,.0751989305056166,.0313702411123756,.0137132579253604,.1366846030858727,111,11
age3_cno4,<18 to 29,ln_parados,sdid,placebo,10,.1198759407054945,.0313503080935484,.0584293368421396,.1813225445688494,111,12
age3_cno4,<18 to 29,ln_parados,sdid,placebo,11,.1077819477957919,.0336483090398997,.0418312620775884,.1737326335139954,111,13
age3_cno4,<18 to 29,ln_parados,sdid,placebo,12,.1164279908488483,.030721154960483,.0562145271263016,.176641454571395,111,14
age3_cno4,<18 to 29,ln_parados,sdid,placebo,13,.1189625436305032,.0375220015800294,.0454194205336456,.1925056667273609,111,15
age3_cno4,<18 to 29,ln_parados,sdid,placebo,14,.0920369073152291,.0367931318983927,.0199223687943795,.1641514458360787,111,16
age3_cno4,<18 to 29,ln_parados,sdid,placebo,15,.0869557691459157,.0341584128641117,.0200052799322568,.1539062583595746,111,17
age3_cno4,<18 to 29,ln_parados,sdid,placebo,16,.0748925703680047,.0376027833078026,.0011911150847116,.1485940256512978,111,18
age3_cno4,<18 to 29,ln_parados,sdid,placebo,17,.0763478107245873,.0358941888573755,.0059952005641314,.1467004208850433,111,19
age3_cno4,<18 to 29,ln_parados,sdid,placebo,18,.0653599440430647,.0426188968861992,-.0181730938538857,.1488929819400151,111,20
age3_cno4,<18 to 29,ln_parados,sdid,placebo,19,.0963869174143116,.0440131291968659,.0101211841884545,.1826526506401687,111,21
age3_cno4,<18 to 29,ln_parados,sdid,placebo,20,.1297066151301999,.0481835818481575,.0352667947078112,.2241464355525887,111,22
age3_cno4,<18 to 29,ln_parados,sdid,placebo,21,.1106602473591229,.0432621018153369,.0258665278010625,.1954539669171833,111,23
age3_cno4,<18 to 29,ln_parados,sdid,placebo,22,.1290207620281875,.0400245496654359,.0505726446839333,.2074688793724418,111,24
age3_cno4,<18 to 29,ln_parados,sdid,placebo,23,.1374671545365504,.0388596534268583,.0613022338199081,.2136320752531927,111,25
age3_cno4,<18 to 29,ln_parados,sdid,placebo,24,.1378333470642665,.0442145130365615,.051172901512606,.224493792615927,111,26
age3_cno4,<18 to 29,ln_parados,sdid,placebo,25,.135833354894826,.044567494034634,.0484810665869434,.2231856432027086,111,27
age3_cno4,<18 to 29,ln_parados,sdid,placebo,26,.1268671346064789,.0479933842519589,.0328001014726395,.2209341677403183,111,28
age3_cno4,<18 to 29,ln_parados,sdid,placebo,27,.1395695830897338,.0484779963753932,.0445527101939631,.2345864559855046,111,29
age3_cno4,<18 to 29,ln_parados,sdid,placebo,28,.1487135583013514,.0432842793292318,.063876370816057,.2335507457866458,111,30
age3_cno4,<18 to 29,ln_parados,sdid,placebo,29,.1284302558020204,.0416787898830454,.0467398276312514,.2101206839727895,111,31
age3_cno4,<18 to 29,ln_parados,sdid,placebo,30,.1215218832354693,.0473777444627276,.0286615040885232,.2143822623824155,111,32
age3_cno4,<18 to 29,ln_parados,sdid,placebo,31,.1588986599887058,.0464641416572166,.0678289423405613,.2499683776368504,111,33
age3_cno4,<18 to 29,ln_parados,sdid,placebo,32,.209839060039384,.0485265157824934,.114727089105697,.304951030973071,111,34
age3_cno4,<18 to 29,ln_parados,sdid,placebo,33,.2060436195810419,.0466476047870622,.1146143141984001,.2974729249636838,111,35
age3_cno4,<18 to 29,ln_parados,sdid,placebo,34,.2227682182854244,.0502670038795154,.1242448906815743,.3212915458892745,111,36
age3_cno4,<18 to 29,ln_parados,sdid,placebo,35,.2004754450616179,.0445855368938991,.1130877927495756,.2878630973736602,111,37
age3_cno4,<18 to 29,ln_parados,sdid,placebo,36,.184709368816277,.0472993647761985,.092002613854928,.277416123777626,111,38
age3_cno4,<18 to 29,ln_parados,sdid,placebo,37,.1504613372116432,.0430459332617225,.0660913080186671,.2348313664046193,111,39
age3_cno4,<18 to 29,ln_parados,sdid,placebo,38,.1733862024262171,.0452038824289382,.0847865928654982,.261985811986936,111,40
age3_cno4,<18 to 29,ln_parados,sdid,placebo,39,.1846090162382825,.045211058688558,.0959953412087087,.2732226912678562,111,41
age3_cno4,<18 to 29,ln_parados,sdid,placebo,40,.2090014161648132,.045795690556707,.1192418626736675,.2987609696559589,111,42
