sample,subgroup,outcome,estimator,vce,event_time,estimate,se,ci_low,ci_high,p_value,row
age3_cno4,30-39,ln_parados,sdid,placebo,4,.045116631602148,.0220633470863328,.0018724713129357,.0883607918913602,117,6
age3_cno4,30-39,ln_parados,sdid,placebo,5,.0478305068175938,.0239342202475586,.000919435132379,.0947415785028087,117,7
age3_cno4,30-39,ln_parados,sdid,placebo,6,.071982196078395,.0195060505002329,.0337503370979385,.1102140550588514,117,8
age3_cno4,30-39,ln_parados,sdid,placebo,7,.089204484008777,.0253274255119158,.0395627300054221,.1388462380121319,117,9
age3_cno4,30-39,ln_parados,sdid,placebo,8,.0870597353214325,.0291283601640639,.0299681493998673,.1441513212429977,117,10
age3_cno4,30-39,ln_parados,sdid,placebo,9,.1157523482975694,.0330123149229545,.0510482110485786,.1804564855465602,117,11
age3_cno4,30-39,ln_parados,sdid,placebo,10,.1155877572246803,.0299864353004574,.0568143440357837,.1743611704135769,117,12
age3_cno4,30-39,ln_parados,sdid,placebo,11,.1097062812293709,.0299669106634275,.0509711363290529,.1684414261296888,117,13
age3_cno4,30-39,ln_parados,sdid,placebo,12,.1193807025521026,.0298892475093736,.0607977774337303,.177963627670475,117,14
age3_cno4,30-39,ln_parados,sdid,placebo,13,.1181742150789299,.0296824201457911,.0599966715931793,.1763517585646804,117,15
age3_cno4,30-39,ln_parados,sdid,placebo,14,.1253393956462586,.0293895315395232,.0677359138287932,.1829428774637241,117,16
age3_cno4,30-39,ln_parados,sdid,placebo,15,.1298134667345104,.0301978911908072,.0706256000005283,.1890013334684926,117,17
age3_cno4,30-39,ln_parados,sdid,placebo,16,.1316284982346619,.0332585570187329,.0664417264779454,.1968152699913784,117,18
age3_cno4,30-39,ln_parados,sdid,placebo,17,.1529366984339319,.0381901144473289,.0780840741171672,.2277893227506965,117,19
age3_cno4,30-39,ln_parados,sdid,placebo,18,.1680373601254427,.0393529635301442,.09090555160636,.2451691686445254,117,20
age3_cno4,30-39,ln_parados,sdid,placebo,19,.1698641270597981,.0402104023988606,.0910517383580313,.248676515761565,117,21
age3_cno4,30-39,ln_parados,sdid,placebo,20,.1805246751153614,.0438100046182344,.0946570660636221,.2663922841671008,117,22
age3_cno4,30-39,ln_parados,sdid,placebo,21,.1882526773630463,.0461294775175812,.0978389014285872,.2786664532975053,117,23
age3_cno4,30-39,ln_parados,sdid,placebo,22,.1966889874647014,.0480406044713421,.102529402700871,.2908485722285319,117,24
age3_cno4,30-39,ln_parados,sdid,placebo,23,.1668343671872629,.0470245214168376,.0746663052102611,.2590024291642646,117,25
age3_cno4,30-39,ln_parados,sdid,placebo,24,.2005856507517224,.0485551650340413,.1054175272850015,.2957537742184433,117,26
age3_cno4,30-39,ln_parados,sdid,placebo,25,.1834955767852348,.0480617979015966,.0892944528981054,.2776967006723641,117,27
age3_cno4,30-39,ln_parados,sdid,placebo,26,.1957388921199058,.0527604042290572,.0923284998309536,.299149284408858,117,28
age3_cno4,30-39,ln_parados,sdid,placebo,27,.2154136056586656,.0521439872484064,.113211390651789,.3176158206655422,117,29
age3_cno4,30-39,ln_parados,sdid,placebo,28,.2170423353373584,.0544989600176429,.1102243737027783,.3238602969719385,117,30
age3_cno4,30-39,ln_parados,sdid,placebo,29,.2240557948443213,.054061849954308,.1180945689338775,.330017020754765,117,31
age3_cno4,30-39,ln_parados,sdid,placebo,30,.2222109757682208,.0474723461752328,.1291651772647646,.315256774271677,117,32
age3_cno4,30-39,ln_parados,sdid,placebo,31,.2281224271455947,.0477716560067373,.1344899813723897,.3217548729187998,117,33
age3_cno4,30-39,ln_parados,sdid,placebo,32,.2475320302350216,.0461972171881884,.1569854845461722,.3380785759238709,117,34
age3_cno4,30-39,ln_parados,sdid,placebo,33,.2454730287897421,.0510863477911908,.1453437871190081,.3456022704604761,117,35
age3_cno4,30-39,ln_parados,sdid,placebo,34,.2623233994845847,.0534990467332839,.1574652678873483,.3671815310818211,117,36
age3_cno4,30-39,ln_parados,sdid,placebo,35,.2486700374902874,.0535388807704934,.1437338311801203,.3536062438004545,117,37
age3_cno4,30-39,ln_parados,sdid,placebo,36,.2516198304985554,.0527693838464732,.148191838159468,.3550478228376428,117,38
age3_cno4,30-39,ln_parados,sdid,placebo,37,.2227349804717192,.057297390536188,.1104320950207908,.3350378659226476,117,39
age3_cno4,30-39,ln_parados,sdid,placebo,38,.2370581312501775,.0630632006876695,.1134542579023453,.3606620045980097,117,40
age3_cno4,30-39,ln_parados,sdid,placebo,39,.2694416694046001,.0561901747211672,.1593089269511125,.3795744118580878,117,41
age3_cno4,30-39,ln_parados,sdid,placebo,40,.2953393895040873,.0593322187597493,.1790482407349786,.4116305382731961,117,42
