ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2025m5,zero,3.6139653,4.0996284,-.5018298,82364,110858,11.318904,11.616005
2025m5,middle,3.9096174,4.2328219,-.31056264,36746,51431,10.511785,10.847997
2025m5,high,4.2280035,4.2500515,.086775027,59912,40346,11.000632,10.605247
2025m6,zero,3.5655088,4.2003345,-.67930001,77843,120901,11.262449,11.702727
2025m6,middle,3.8489733,4.1694245,-.3844935,35986,50902,10.490885,10.837658
2025m6,high,4.2104163,4.1773024,.07978937,57968,44144,10.967647,10.695212
2025m7,zero,3.5980875,4.2034488,-.6016193,77380,128922,11.256484,11.766963
2025m7,middle,3.8815165,4.3052611,-.39492986,38134,48337,10.548862,10.785953
2025m7,high,4.2472024,4.1784129,.12321242,59176,44328,10.988272,10.699371
2025m8,zero,3.6377099,3.8276684,-.21808058,78815,88423,11.274858,11.389888
2025m8,middle,3.978862,4.0001764,.05123248,39871,33823,10.593405,10.428896
2025m8,high,4.2560382,3.8044653,.63311511,60934,29417,11.017547,10.289328
2025m9,zero,3.6184099,4.2464094,-.657206,79240,122675,11.280236,11.717294
2025m9,middle,3.8788214,4.3098397,-.48111695,36956,58029,10.517484,10.968699
2025m9,high,4.3160191,4.3373504,.042403031,60673,48876,11.013254,10.797042
2025m10,zero,3.6515529,4.2366052,-.57578468,82444,122958,11.319875,11.719598
2025m10,middle,3.9521463,4.2797484,-.34417668,37875,59549,10.542047,10.994555
2025m10,high,4.2905102,4.3112388,.077135764,61453,48357,11.026028,10.786366
2025m11,zero,3.6542602,4.0898786,-.44022834,81754,104921,11.31147,11.560963
2025m11,middle,3.9696577,4.1791677,-.22743486,37219,52147,10.524574,10.861822
2025m11,high,4.2689986,4.230207,.19319387,60613,42067,11.012264,10.647018
2025m12,zero,3.6787333,3.9494905,-.24390221,80489,98641,11.295876,11.499242
2025m12,middle,3.9587429,3.9729378,-.017863676,36762,50504,10.51222,10.829808
2025m12,high,4.2514949,3.9399087,.43357801,59638,37640,10.996048,10.535823
2026m1,zero,3.7257984,4.0171041,-.32233182,84122,94782,11.340023,11.459334
2026m1,middle,4.0210304,4.2953005,-.20634618,38041,47885,10.54642,10.776558
2026m1,high,4.3208308,4.0861082,.28352505,62762,36957,11.047105,10.51751
2026m2,zero,3.7217276,4.058774,-.34248421,85034,91443,11.350806,11.423471
2026m2,middle,4.003377,4.1962895,-.17250876,37728,46812,10.538157,10.753895
2026m2,high,4.348587,4.1459684,.28752992,63352,36654,11.056461,10.509278
2026m3,zero,3.716126,4.1559811,-.45254862,82982,109148,11.326379,11.60046
2026m3,middle,3.9816623,4.3589406,-.35835984,36889,53146,10.515669,10.880798
2026m3,high,4.3480792,4.2194514,.20200545,62089,41486,11.036325,10.633111
