ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2024m1,middle,5.9456811,4.6073127,1.5852075,295698,106154,12.597094,11.572646
2024m1,high,6.2165565,4.2839451,2.0562546,487315,44397,13.096666,10.700927
2024m2,zero,6.1029596,4.5652037,1.5888487,788222,180981,13.577535,12.106148
2024m2,middle,5.9464569,4.5693927,1.6113139,293835,104927,12.590774,11.56102
2024m2,high,6.2086802,4.3525229,2.0227184,483811,44622,13.08945,10.705982
2024m3,zero,6.1054749,4.5509715,1.6385648,783020,176192,13.570913,12.079329
2024m3,middle,5.9397311,4.351728,1.7502494,291394,98357,12.582432,11.496359
2024m3,high,6.2175112,4.1841483,2.1454694,480757,43744,13.083117,10.68611
2024m4,zero,6.0883589,4.5748286,1.5480109,773545,198664,13.558739,12.19937
2024m4,middle,5.9708424,4.548193,1.6039115,286850,112156,12.566714,11.627646
2024m4,high,6.2160702,4.2944846,2.0282402,476920,48403,13.075104,10.787317
2024m6,zero,6.0580716,4.5487785,1.5519634,747893,200747,13.525015,12.209801
2024m6,middle,5.9392786,4.4663696,1.6297984,279387,100584,12.540353,11.518748
2024m6,high,6.1877241,4.226357,2.05809,467743,44836,13.055675,10.710767
2024m7,zero,6.0519814,4.6538649,1.4547528,737755,224369,13.511367,12.321047
2024m7,middle,5.9721022,4.4525938,1.6346105,279444,99145,12.540557,11.504338
2024m7,high,6.1989436,4.2417469,2.0537593,467673,48672,13.055525,10.792859
2024m8,zero,6.0588217,4.31779,1.8002558,737747,168376,13.511356,12.033955
2024m8,middle,5.9445429,4.1298146,2.0533402,279940,77186,12.542331,11.253973
2024m8,high,6.2148271,3.8574421,2.5374217,470268,32071,13.061058,10.375708
2024m9,zero,6.0548377,4.6576557,1.4525846,738861,218552,13.512865,12.294779
2024m9,middle,5.9340606,4.5694852,1.5220475,277858,114364,12.534865,11.647141
2024m9,high,6.1967311,4.3663487,1.9937884,468127,50155,13.056495,10.822873
2024m10,zero,6.0610132,4.7311778,1.37675,745822,238506,13.522243,12.38215
2024m10,middle,5.9371443,4.6384926,1.4854298,278207,128348,12.53612,11.762501
2024m10,high,6.1968374,4.4150043,1.9344246,469959,55408,13.060401,10.92248
2024m11,zero,6.0624914,4.5958896,1.5090649,743375,201039,13.518956,12.211254
2024m11,middle,5.94315,4.5207705,1.5972956,277306,121411,12.532877,11.706937
2024m11,high,6.2007408,4.3828959,1.9813943,468559,47153,13.057417,10.761153
2024m12,zero,6.0659709,4.3903699,1.7437663,741708,178989,13.516711,12.095079
2024m12,middle,5.9367981,4.2515259,1.8678625,276490,114254,12.52993,11.646179
2024m12,high,6.1998639,4.1168942,2.2698939,465903,40288,13.051733,10.603809
2025m1,zero,6.076498,4.6533561,1.4877701,746450,195612,13.523084,12.183888
2025m1,middle,6.0023961,4.5111694,1.6019872,278371,111081,12.53671,11.618015
2025m1,high,6.2109947,4.3647118,2.037333,471777,44599,13.064261,10.705466
2025m2,zero,6.0624294,4.5526748,1.5987942,742447,172831,13.517707,12.060069
