sample,subgroup,outcome,estimator,vce,event_time,estimate,se,ci_low,ci_high,p_value,row
age3_cno4,40 to >44,ln_parados,sdid,placebo,5,.015613925246095,.0077814518658988,.0003622795889334,.0308655709032566,122,7
age3_cno4,40 to >44,ln_parados,sdid,placebo,6,.0206077077560716,.0078731773011304,.005176280245856,.0360391352662872,122,8
age3_cno4,40 to >44,ln_parados,sdid,placebo,7,.0286620254939694,.0083168978916397,.0123609056263556,.0449631453615832,122,9
age3_cno4,40 to >44,ln_parados,sdid,placebo,8,.0335686815595891,.0093479713373811,.0152466577383221,.051890705380856,122,10
age3_cno4,40 to >44,ln_parados,sdid,placebo,9,.0402500765084106,.0122774783689188,.0161862189053297,.0643139341114916,122,11
age3_cno4,40 to >44,ln_parados,sdid,placebo,10,.046538300208514,.0120007938057886,.0230167443491684,.0700598560678597,122,12
age3_cno4,40 to >44,ln_parados,sdid,placebo,11,.0400124175190833,.0109020976398782,.0186443061449221,.0613805288932445,122,13
age3_cno4,40 to >44,ln_parados,sdid,placebo,12,.0343534643273227,.0110609093195713,.0126740820609629,.0560328465936825,122,14
age3_cno4,40 to >44,ln_parados,sdid,placebo,13,.0227004582546746,.0118716973041688,-.0005680684614962,.0459689849708454,122,15
age3_cno4,40 to >44,ln_parados,sdid,placebo,14,.029579034945666,.0112667141670567,.0074962751782348,.0516617947130971,122,16
age3_cno4,40 to >44,ln_parados,sdid,placebo,15,.0238406315689624,.0122537746886377,-.0001767668207676,.0478580299586923,122,17
age3_cno4,40 to >44,ln_parados,sdid,placebo,16,.0255455570982495,.0137854992642207,-.0014740214596231,.0525651356561221,122,18
age3_cno4,40 to >44,ln_parados,sdid,placebo,17,.0266611344875863,.016478603361183,-.0056369281003324,.0589591970755049,122,19
age3_cno4,40 to >44,ln_parados,sdid,placebo,18,.0392272395480324,.0159429224144713,.0079791116156687,.0704753674803962,122,20
age3_cno4,40 to >44,ln_parados,sdid,placebo,19,.036550045495364,.016312586752511,.0045773754604424,.0685227155302856,122,21
age3_cno4,40 to >44,ln_parados,sdid,placebo,20,.0446986367341609,.0191032837853601,.0072562005148551,.0821410729534666,122,22
age3_cno4,40 to >44,ln_parados,sdid,placebo,21,.0499449769535758,.0202085892953592,.0103361419346718,.0895538119724799,122,23
age3_cno4,40 to >44,ln_parados,sdid,placebo,22,.0438059337490886,.0199878957139932,.0046296581496619,.0829822093485154,122,24
age3_cno4,40 to >44,ln_parados,sdid,placebo,23,.0418997146727316,.0191806466113296,.0043056473145256,.0794937820309376,122,25
age3_cno4,40 to >44,ln_parados,sdid,placebo,24,.0452780476021593,.0211069702935396,.0039083858268216,.0866477093774969,122,26
age3_cno4,40 to >44,ln_parados,sdid,placebo,25,.0391308733102394,.022647186661953,-.0052576125471886,.0835193591676673,122,27
age3_cno4,40 to >44,ln_parados,sdid,placebo,26,.0433171415857752,.022242386973123,-.0002779368815459,.0869122200530963,122,28
age3_cno4,40 to >44,ln_parados,sdid,placebo,27,.0619019857209509,.0230353461651311,.0167527072372939,.1070512642046078,122,29
age3_cno4,40 to >44,ln_parados,sdid,placebo,28,.0627537611266771,.0241218835637599,.0154748693417077,.1100326529116465,122,30
age3_cno4,40 to >44,ln_parados,sdid,placebo,29,.0662667674244322,.0251738658255392,.0169259904063754,.115607544442489,122,31
age3_cno4,40 to >44,ln_parados,sdid,placebo,30,.0755869923088559,.0258004151189315,.0250181786757502,.1261558059419617,122,32
age3_cno4,40 to >44,ln_parados,sdid,placebo,31,.0810370602141193,.0260066536954334,.0300640189710698,.1320101014571688,122,33
age3_cno4,40 to >44,ln_parados,sdid,placebo,32,.0848098756846856,.0270490554167848,.0317937270677873,.1378260243015839,122,34
age3_cno4,40 to >44,ln_parados,sdid,placebo,33,.0934734197237344,.0278665578239644,.0388549663887642,.1480918730587046,122,35
age3_cno4,40 to >44,ln_parados,sdid,placebo,34,.0929771245185682,.0272491366094161,.0395688167641127,.1463854322730238,122,36
age3_cno4,40 to >44,ln_parados,sdid,placebo,35,.0890996901028167,.0270755002501989,.0360317096124269,.1421676705932066,122,37
age3_cno4,40 to >44,ln_parados,sdid,placebo,36,.0906914077990244,.0271768180042473,.0374248445106997,.1439579710873491,122,38
age3_cno4,40 to >44,ln_parados,sdid,placebo,37,.074760643335849,.027581841548095,.0207002339015828,.1288210527701152,122,39
age3_cno4,40 to >44,ln_parados,sdid,placebo,38,.082531672556895,.0291110426756743,.0254740289125734,.1395893162012166,122,40
age3_cno4,40 to >44,ln_parados,sdid,placebo,39,.0913272766514695,.0274891132876647,.0374486146076467,.1452059386952923,122,41
age3_cno4,40 to >44,ln_parados,sdid,placebo,40,.1035496247888492,.0281626730393621,.0483507856316996,.1587484639459989,122,42
