category,period,period_date,exposure_group,ln_parados,ln_contratos,ln_parados_contratos
40-44,2025-10,2025-10-01,high,4.466660496867761,3.6836736857735284,0.9138000354590886
40-44,2025-10,2025-10-01,middle,4.256643707483328,3.9673103012822657,0.39664434194537596
40-44,2025-10,2025-10-01,zero,4.094356754685488,3.917578110833917,0.26856138546925773
40-44,2025-11,2025-11-01,high,4.421023298708054,3.4917491760387005,1.0970921853858455
40-44,2025-11,2025-11-01,middle,4.2475146632120415,3.638830477100046,0.697855371784021
40-44,2025-11,2025-11-01,zero,4.096576903292008,3.7306825452508705,0.45094163130360343
40-44,2025-12,2025-12-01,high,4.407470303530399,3.3796451737485573,1.2323329164850192
40-44,2025-12,2025-12-01,middle,4.265224920671472,3.619481984242805,0.8901227180849112
40-44,2025-12,2025-12-01,zero,4.1250031863886,3.5868030755100406,0.624646763056228
40-44,2026-01,2026-01-01,high,4.449259918459948,3.45105262509651,1.119398243468296
40-44,2026-01,2026-01-01,middle,4.276139545945173,3.6580928813573306,0.6806989543496943
40-44,2026-01,2026-01-01,zero,4.109498849035516,3.7691316091865654,0.44444345392320384
40-44,2026-02,2026-02-01,high,4.48859331273243,3.442226394290789,1.1654183847680895
40-44,2026-02,2026-02-01,middle,4.232581418588629,3.616598975485652,0.7631252235402278
40-44,2026-02,2026-02-01,zero,4.085736136552036,3.695575337721707,0.48600734200045437
40-44,2026-03,2026-03-01,high,4.473759336657071,3.534347077246967,1.0627396221778693
40-44,2026-03,2026-03-01,middle,4.232465149918052,3.7788100868128724,0.5948174252328363
40-44,2026-03,2026-03-01,zero,4.082818876912948,3.790840868920452,0.35267378868794996
<18,2021-01,2021-01-01,high,1.6187324442268978,1.0246591824730795,1.383809893216138
<18,2021-01,2021-01-01,middle,2.075419821839779,1.671820019136133,0.8552865997221502
<18,2021-01,2021-01-01,zero,1.9406526367338806,1.4087852955832147,0.9196599962096034
<18,2021-02,2021-02-01,high,1.6661992195968576,1.1100098846268456,1.3341356937947257
<18,2021-02,2021-02-01,middle,2.1830464402971503,1.7895355636412877,1.102777490525293
<18,2021-02,2021-02-01,zero,2.0451065511529727,1.3135766277272773,1.1088437521644547
<18,2021-03,2021-03-01,high,1.6180765076552763,1.358203389704276,1.1375439822877655
<18,2021-03,2021-03-01,middle,2.2055003804866784,2.0581173718431964,0.6507101793902995
<18,2021-03,2021-03-01,zero,2.0171973343152207,1.3776775454678711,0.8132143976653182
<18,2021-04,2021-04-01,high,1.5273278097882044,1.3067866989093706,1.0571937204308681
<18,2021-04,2021-04-01,middle,2.254665536729795,1.9427090039842072,0.7597095566765738
<18,2021-04,2021-04-01,zero,2.0455164350701978,1.484630456773666,0.8400345600747591
<18,2021-05,2021-05-01,high,1.4966340321583953,1.2434644552739198,0.5489074390632728
<18,2021-05,2021-05-01,middle,2.174736719014156,2.1036762115064604,0.5607240568460069
<18,2021-05,2021-05-01,zero,1.998154531102978,1.4753767666941469,0.7002450213613839
<18,2021-06,2021-06-01,high,1.5450235155603398,1.5120597649351213,0.11874546562284355
<18,2021-06,2021-06-01,middle,2.28581957838614,2.29244549276127,-0.3143348216479485
<18,2021-06,2021-06-01,zero,2.0679454707929112,1.9373126636466727,-0.12059865579331698
<18,2021-07,2021-07-01,high,1.4199249472963045,1.8050721244807169,-0.30065749887234505
<18,2021-07,2021-07-01,middle,2.051843561068914,2.6222351757959377,-0.7620472209778159
<18,2021-07,2021-07-01,zero,1.9779571989505063,2.200205198426975,-0.5209286303806898
<18,2021-08,2021-08-01,high,1.4906418610300816,1.7517777389334197,-0.009155712610299354
<18,2021-08,2021-08-01,middle,2.003525934749492,2.2700134848624756,-0.38480240245551844
<18,2021-08,2021-08-01,zero,1.9151295161595625,1.937279962171415,-0.029605399533466085
<18,2021-09,2021-09-01,high,1.5901432041715835,1.5531840723783137,0.2078464123640514
<18,2021-09,2021-09-01,middle,2.071209546816715,2.2567391569794335,-0.17990017913403333
<18,2021-09,2021-09-01,zero,2.0043241595561296,1.8357349192452388,0.11341426028238241
<18,2021-10,2021-10-01,high,1.5649300985767334,1.3717396606816343,0.27790591743138177
<18,2021-10,2021-10-01,middle,2.3817396616895747,2.341816090405565,0.12129920587155209
<18,2021-10,2021-10-01,zero,1.8553322428508159,1.6933865425885528,0.11184238801458779
<18,2021-11,2021-11-01,high,1.6538479266848878,1.693026161272676,0.3472131618631011
<18,2021-11,2021-11-01,middle,2.238549207180704,2.259940806234247,0.12935300289091878
<18,2021-11,2021-11-01,zero,1.829816262963411,1.7664575146606123,0.2939170630772926
<18,2021-12,2021-12-01,high,1.6338318947427555,1.4812176676693463,0.48192002617061697
<18,2021-12,2021-12-01,middle,2.1569924128735165,2.2691464898756846,0.12128349446857256
<18,2021-12,2021-12-01,zero,1.758244252781496,1.5593968870567991,0.33843932661169845
<18,2022-01,2022-01-01,high,1.5227302540606893,1.4046421855608209,0.43689802352097945
<18,2022-01,2022-01-01,middle,2.209142096213537,2.292972052786317,0.3262448639887852
<18,2022-01,2022-01-01,zero,1.7604789439305175,1.5492793924731751,0.39030012274152376
<18,2022-02,2022-02-01,high,1.462698018240311,1.2019843236387018,0.9534485258088806
<18,2022-02,2022-02-01,middle,2.042946018065126,2.065332787005974,0.476638309947653
<18,2022-02,2022-02-01,zero,1.8649191144450714,1.5052749449753722,0.5439439906001541
<18,2022-03,2022-03-01,high,1.4353815893802542,1.427108511217499,0.415507520501075
<18,2022-03,2022-03-01,middle,2.079097582172864,2.1929450953780023,0.04891065217225434
<18,2022-03,2022-03-01,zero,1.8766361637568238,1.58790083223891,0.4459497854169132
<18,2022-04,2022-04-01,high,1.4583684401346362,1.3774179398586979,0.6223834461668611
<18,2022-04,2022-04-01,middle,2.2719169319669765,2.153358043773438,0.3173487166946098
<18,2022-04,2022-04-01,zero,1.9333796682134643,1.6679666597606828,0.4097932888967345
<18,2022-05,2022-05-01,high,1.418220684820963,1.5217504420585315,0.4328018394553396
<18,2022-05,2022-05-01,middle,2.11730441485304,2.293467522521095,0.3061699425120896
<18,2022-05,2022-05-01,zero,1.9211485805797872,1.686243498185785,0.21974563416492549
<18,2022-06,2022-06-01,high,1.5300050272345702,1.787803586408312,-0.12461903542868927
<18,2022-06,2022-06-01,middle,2.095448260671308,2.3845227700688643,-0.5154882018734693
<18,2022-06,2022-06-01,zero,1.909893432175509,2.101269352202601,-0.42789936113851024
<18,2022-07,2022-07-01,high,1.5006799910761095,1.84137077018798,-0.5071125774874938
<18,2022-07,2022-07-01,middle,2.1874632300367183,2.483331029870754,-0.4840419876661027
<18,2022-07,2022-07-01,zero,1.8496386624008476,2.3400188445911625,-0.831776240981213
<18,2022-08,2022-08-01,high,1.5957787122657998,1.593085060086326,0.23347833813376723
<18,2022-08,2022-08-01,middle,2.0864361120788995,2.44954168323219,-0.09697153189927449
<18,2022-08,2022-08-01,zero,1.8578482732277306,1.879956531249662,-0.12928773156977333
<18,2022-09,2022-09-01,high,1.4794781088270628,1.7782059297595392,-0.14632487711701747
<18,2022-09,2022-09-01,middle,1.94890202224342,2.4372124974087757,-0.4172650525401028
<18,2022-09,2022-09-01,zero,1.9201103405120588,1.8363637589189579,0.11351607366973326
<18,2022-10,2022-10-01,high,1.55841923590528,1.5961469892824929,0.2976067321643456
<18,2022-10,2022-10-01,middle,1.9484898517685079,2.1483899910264967,-0.1431016316072495
<18,2022-10,2022-10-01,zero,1.8975824016538596,1.6124940427837442,0.2651619580814981
<18,2022-11,2022-11-01,high,1.4843489484329198,1.5045465522902408,0.35998325066439646
<18,2022-11,2022-11-01,middle,1.9584240624268037,2.152966880306377,0.1314405886030122
<18,2022-11,2022-11-01,zero,1.8702142756104496,1.7104899920166772,0.4203363775221158
<18,2022-12,2022-12-01,high,1.484435352030366,1.47934361898754,0.5234407689352881
<18,2022-12,2022-12-01,middle,1.9326629907725164,1.9480610008198291,0.022735333131737295
<18,2022-12,2022-12-01,zero,1.8252849500947663,1.6403864499067973,0.42142164521412584
<18,2023-01,2023-01-01,high,1.5567216554729804,1.4917823530767413,0.23533141649713799
<18,2023-01,2023-01-01,middle,1.7974935940175423,2.042181413250973,0.13647379393528053
<18,2023-01,2023-01-01,zero,1.907122970704672,1.5840127700797968,0.540414604804516
<18,2023-02,2023-02-01,high,1.4517238457582027,1.352197041251179,0.7618028897352234
<18,2023-02,2023-02-01,middle,1.7303836528800767,1.9654873830280073,0.4188074648618005
<18,2023-02,2023-02-01,zero,1.7921704099775693,1.5266206117523438,0.6594069027096886
<18,2023-03,2023-03-01,high,1.4542414621003348,1.8040546288369894,0.14005456747509928
<18,2023-03,2023-03-01,middle,1.8203303106950977,1.90098776751821,0.41091677592929154
<18,2023-03,2023-03-01,zero,1.8922842962121067,1.5635833950300932,0.5277289358836078
<18,2023-04,2023-04-01,high,1.4342854857278298,1.795867157150699,0.6538534610850238
<18,2023-04,2023-04-01,middle,2.057670873931138,2.077474138109173,0.6385212642106933
<18,2023-04,2023-04-01,zero,1.9404476664486545,1.5763153327828978,0.5049784795142493
<18,2023-05,2023-05-01,high,1.5287804815304247,1.5931765571174796,0.2595088465911
<18,2023-05,2023-05-01,middle,2.1803575474279953,2.4577251303621224,0.2001973800426676
<18,2023-05,2023-05-01,zero,2.0118065078873606,1.7520715814385392,0.22670740434545866
