cno4,occupation_title,exposure_nearest,exposure_weighted,exposure_rf,exposure_group,mean_parados,mean_contratos,pre_mean_parados
2931,Artistas de artes plásticas y visuales,0.3565,0.3565,0.119159161031746,high,3661.3492063492063,1013.1269841269841,4076.0
3739,Otros técnicos y profesionales de apoyo de actividades culturales y artísticas,0.3565,0.3565,0.1298554465079364,high,714.7619047619048,10012.682539682539,688.8095238095239
2939,Artistas creativos e interpretativos no clasificados bajo otros epígrafes,0.3565,0.3565,0.0611491361904761,high,289.4761904761905,8220.396825396825,442.3809523809524
2612,Asesores financieros y en inversiones,0.3504,0.2137100239005849,0.2028807978571427,high,1157.015873015873,124.53968253968254,1233.952380952381
2611,Especialistas en contabilidad,0.3478,0.2060981271040964,0.20598423,high,3167.285714285714,635.5714285714286,3684.095238095238
3811,Técnicos en operaciones de sistemas informáticos,0.3373,0.3373,0.1236772792857142,high,1099.3650793650793,2197.7301587301586,1050.904761904762
2722,Administradores de sistemas y redes,0.3373,0.2541698568926847,0.1826089128210677,high,696.3968253968254,357.0952380952381,748.6190476190476
2721,Diseñadores y administradores de bases de datos,0.3315,0.4540065463806685,0.1963370882539682,high,1563.6349206349207,121.66666666666667,1228.6190476190477
5220,Vendedores en tiendas y almacenes,0.3222,0.3222,0.1014016864141414,high,326744.4126984127,70640.76190476191,382176.1904761905
5300,Comerciantes propietarios de tiendas,0.3222,0.3222,0.1239345676190476,high,513.3968253968254,12.396825396825397,566.0952380952381
3521,Mediadores y agentes de seguros,0.3188,0.1751095172436939,0.0966098638095238,high,1401.015873015873,217.11111111111111,1575.6666666666667
3129,"Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías",0.3148,0.0,0.0741099645238095,high,6410.746031746032,1007.5873015873016,7451.190476190476
3160,"Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías",0.3148,0.3148,0.0877752828571428,high,3491.126984126984,1072.6031746031747,3921.285714285714
3127,Técnicos y analistas de laboratorio en química industrial,0.3148,0.3148,0.1220957802380952,high,2768.9841269841268,1035.888888888889,3165.714285714286
3121,Técnicos en ciencias físicas y químicas,0.3148,0.0845297700095152,0.1122928995238095,high,454.53968253968253,189.84126984126985,543.2380952380952
2513,Jueces y magistrados,0.3109,0.3081758120261904,0.1231717541269841,high,83.34920634920636,13.444444444444445,89.9047619047619
