term,beta_log_points,se,p_value_normal,ci95_low,ci95_high,effect_pct,event_time,pretrend_wald_chi2,pretrend_df,pretrend_p_value,nobs,clusters,fe_cols,fe_groups
event_m3,-0.012112069987803124,0.016848898834092862,0.47222460342564765,-0.045135911702625126,0.02091177172701888,-1.2039014118176983,-3,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m2,-0.0005999671582841704,0.00832863438248158,0.9425727183508237,-0.016924090547948068,0.015724156231379727,-0.05997872139773541,-2,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
reference,0.0,,,,,0.0,-1,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_0,0.01777696490916432,0.009963171120018368,0.07438016813561177,-0.0017508504860716811,0.03730478030440032,1.79359156400678,0,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p1,0.02430869066166969,0.014023387751012736,0.08301762745654484,-0.0031771493303152758,0.05179453065365465,2.4606555553888576,1,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p2,0.01952416333515603,0.016092760417052262,0.225043236517235,-0.012017647082266405,0.05106597375257846,1.9716006302595845,2,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p3,0.02788579849821905,0.016610015593355187,0.09318041481370476,-0.004669832064757119,0.06044142906119522,2.8278246795743422,3,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p4,0.01777736985816149,0.01736874806841904,0.30605908745098276,-0.016265376355939828,0.051820116072262806,1.7936327852279499,4,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p5,0.017229504398396742,0.018892581650832723,0.36178348734895915,-0.019799955637235394,0.054258964434028875,1.7378788440248538,5,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p6,0.02946355130391717,0.020671897741918098,0.15407196147170366,-0.011053368270242298,0.06998047087807664,2.9901896206557366,6,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_p7,0.029411359443103947,0.02052489356711562,0.15186915801960899,-0.010817431948442667,0.06964015083465055,2.984814511283629,7,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
