panel,period,period_date,exposure_group,ln_parados,ln_contratos,ln_parados_contratos
all,2023-05,2023-05-01,zero,6.632488446860033,5.993195631774724,0.6639625272577303
all,2023-06,2023-06-01,high,6.831804447903337,5.899901931789288,0.9942152372360051
all,2023-06,2023-06-01,middle,6.538782399275615,5.877759179163224,0.708165439618162
all,2023-06,2023-06-01,zero,6.618027420332395,6.0204901407909945,0.611025976348798
all,2023-07,2023-07-01,high,6.852355911645751,5.81005155625167,1.1411028239855696
all,2023-07,2023-07-01,middle,6.570484267048619,5.808803296400226,0.8090788503781399
all,2023-07,2023-07-01,zero,6.6150202022109825,5.967770560277265,0.661057284736423
all,2023-08,2023-08-01,high,6.871446179831427,5.383872762997584,1.5495982126498853
all,2023-08,2023-08-01,middle,6.598893497188633,5.596558403098934,1.124705143606996
all,2023-08,2023-08-01,zero,6.626773265401652,5.682718439141329,0.9572728278452332
all,2023-09,2023-09-01,high,6.850710810328299,5.757525750439712,1.125044386638787
all,2023-09,2023-09-01,middle,6.596151817100176,5.885629195875333,0.7105226212248432
all,2023-09,2023-09-01,zero,6.6310146903307015,5.947650463055537,0.6963154925939911
all,2023-10,2023-10-01,high,6.88208242428366,5.869620417159201,1.0810729686180252
all,2023-10,2023-10-01,middle,6.601803029327758,5.962167918744052,0.7516830138369962
all,2023-10,2023-10-01,zero,6.647917694326633,5.959733470265784,0.7013418160614511
all,2023-11,2023-11-01,high,6.8731314503459275,5.7214422855304585,1.1788986845368488
all,2023-11,2023-11-01,middle,6.584916468030774,5.782755587406304,0.8324165509791039
all,2023-11,2023-11-01,zero,6.640745335598654,5.917492538047635,0.7538274242329349
all,2023-12,2023-12-01,high,6.863446286850145,5.469734866190638,1.4548564372591706
all,2023-12,2023-12-01,middle,6.5828598750585865,5.660411159721703,1.0780078254988668
all,2023-12,2023-12-01,zero,6.6336402594556185,5.569701106964552,1.0774898050092703
all,2024-01,2024-01-01,high,6.874923063880691,5.710256404735451,1.2342760915692856
all,2024-01,2024-01-01,middle,6.599394390436529,5.8012493002994,0.8628364866071567
all,2024-01,2024-01-01,zero,6.650422373089241,5.945965476086016,0.7571836077388182
all,2024-02,2024-02-01,high,6.869763182778644,5.753747780788514,1.2099229237235496
all,2024-02,2024-02-01,middle,6.591220934969626,5.835402855999812,0.826229894359165
all,2024-02,2024-02-01,zero,6.648086924759725,5.864499041978004,0.8109378539673234
all,2024-03,2024-03-01,high,6.867221819328846,5.640580437498729,1.2837960610912125
all,2024-03,2024-03-01,middle,6.574410468524688,5.616227923460735,0.9581825450639526
all,2024-03,2024-03-01,zero,6.643995617577162,5.773797484403814,0.8839518704242569
all,2024-04,2024-04-01,high,6.846526710639904,5.760497529255314,1.143810031287313
all,2024-04,2024-04-01,middle,6.5329556934095345,5.813787508094648,0.806674903150863
all,2024-04,2024-04-01,zero,6.618471716754597,5.894832384222949,0.7509036858366627
all,2024-05,2024-05-01,high,6.824628493860198,5.813082145425358,1.138883205720314
all,2024-05,2024-05-01,middle,6.514805934098747,5.802761459889851,0.8048914169386793
all,2024-05,2024-05-01,zero,6.593201379134081,5.902619550699758,0.7082767955544587
all,2024-06,2024-06-01,high,6.808503033573661,5.7477348678587985,1.1191678889290173
all,2024-06,2024-06-01,middle,6.5023041514265945,5.864545597111975,0.7507366473664842
all,2024-06,2024-06-01,zero,6.575032077620319,5.920216761236636,0.6817335371059537
all,2024-07,2024-07-01,high,6.830349608873813,5.783655176040937,1.0751346368873353
all,2024-07,2024-07-01,middle,6.534264540809937,5.861678943808257,0.7196913821649858
all,2024-07,2024-07-01,zero,6.576341769473299,6.0110407497216745,0.5826920871357419
all,2024-08,2024-08-01,high,6.855750595319531,5.314642238393916,1.6199982426136608
all,2024-08,2024-08-01,middle,6.563966314147808,5.472868000635745,1.1776269800039953
all,2024-08,2024-08-01,zero,6.590393992841281,5.618879254377856,0.9972733225245715
all,2024-09,2024-09-01,high,6.842921915630267,5.900980594489713,1.057097769458173
all,2024-09,2024-09-01,middle,6.554713962673463,5.929345083710125,0.6625366516538085
all,2024-09,2024-09-01,zero,6.59069965740535,5.966295050055759,0.6502882232346209
all,2024-10,2024-10-01,high,6.853920885255063,5.92713103575015,1.0298998716760581
all,2024-10,2024-10-01,middle,6.562362789774361,5.959393620960418,0.6814975401696254
all,2024-10,2024-10-01,zero,6.602134536147167,6.015832912792178,0.5991382848873716
all,2024-11,2024-11-01,high,6.852211944635253,5.728057624539733,1.2217438318436689
all,2024-11,2024-11-01,middle,6.566374139299907,5.762475573438909,0.8361681205532435
all,2024-11,2024-11-01,zero,6.596904502898651,5.8510369205090305,0.756946214257873
all,2024-12,2024-12-01,high,6.846368464221886,5.567028429836585,1.4225781476453965
all,2024-12,2024-12-01,middle,6.557153373805601,5.516518991930656,1.1181204616241736
all,2024-12,2024-12-01,zero,6.5989475642926525,5.640368808352033,0.9844983232158334
all,2025-01,2025-01-01,high,6.857578177850905,5.747840950148191,1.2076080320156033
all,2025-01,2025-01-01,middle,6.577858842524236,5.748398059147559,0.8713282388718729
all,2025-01,2025-01-01,zero,6.611434048388951,5.900177433447539,0.7377868831357359
all,2025-02,2025-02-01,high,6.862069719757125,5.7214237917423185,1.2626848219910867
all,2025-02,2025-02-01,middle,6.560777757938602,5.712703629185232,0.9214660877261757
all,2025-02,2025-02-01,zero,6.60016496118103,5.8041896352591635,0.8217781047327869
all,2025-03,2025-03-01,high,6.856262677068035,5.760911997058625,1.210347645405876
all,2025-03,2025-03-01,middle,6.548513218677861,5.759782784037103,0.8169884248097453
all,2025-03,2025-03-01,zero,6.593798061561977,5.8879288585589835,0.732153247126209
all,2025-04,2025-04-01,high,6.828543558078868,5.630583170757455,1.25595269861047
all,2025-04,2025-04-01,middle,6.520742584528363,5.66369036900429,0.8984590560354321
all,2025-04,2025-04-01,zero,6.562219416082959,5.7880641305101435,0.8039609464744912
all,2025-05,2025-05-01,high,6.814196411575187,5.645488544733759,1.1937202797950197
all,2025-05,2025-05-01,middle,6.494567874490141,5.707439816147504,0.8283238124827194
all,2025-05,2025-05-01,zero,6.540259814721065,5.871073628309792,0.6947687589601123
