cno4,occupation_title,exposure_nearest,exposure_weighted,exposure_rf,exposure_group,mean_parados,mean_contratos,pre_mean_parados,cno2,treat,control,nearest_anthropic_title,nearest_anthropic_observed_exposure,nearest_cosine_similarity,match_review_flag,weighted_match_rows
2482,Diseñadores de productos y de prendas,0.0437,0.0502029895225101,0.0766936535714286,middle,2135.9206349206347,148.5079365079365,2394.6666666666665,24,False,False,,,,,
2414,Geólogos y geofísicos,0.043,0.1141027268693386,0.102610719047619,middle,508.1111111111111,66.57142857142857,643.4761904761905,24,False,False,,,,,
2412,Meteorólogos,0.038,0.038,0.1210881509523809,middle,15.095238095238097,6.317460317460317,13.61904761904762,24,False,False,,,,,
2431,Ingenieros industriales y de producción,0.0367,0.0367,0.06473799505772,middle,2013.126984126984,1041.2063492063492,2211.095238095238,24,False,False,,,,,
2437,Ingenieros ambientales,0.0358,0.0679745415213147,0.0712547529365079,middle,203.77777777777777,57.47619047619048,241.57142857142856,24,False,False,,,,,
2425,Ingenieros técnicos forestales y del medio natural,0.0221,0.0221,0.0691997028571428,middle,342.968253968254,78.01587301587301,435.7619047619048,24,False,False,,,,,
2472,Ingenieros técnicos en electrónica,0.0202,0.0202,0.0745182271428571,middle,427.5079365079365,52.98412698412698,537.5238095238095,24,False,False,,,,,
2432,Ingenieros en construcción y obra civil,0.0081,0.0409190265975001,0.0703700226984127,middle,1016.0793650793652,406.9047619047619,1374.7619047619048,24,False,False,,,,,
2462,Ingenieros técnicos de obras públicas,0.0081,0.0081,0.0605882764285714,middle,569.3015873015873,118.41269841269842,772.952380952381,24,False,False,,,,,
2424,Ingenieros técnicos agrícolas,0.0,0.0,0.0621199602380952,zero,1212.3174603174602,164.84126984126985,1474.809523809524,24,False,True,,,,,
2443,Ingenieros en telecomunicaciones,0.0,0.0,0.1076910923015872,zero,917.9206349206348,270.4920634920635,836.7619047619048,24,False,True,,,,,
2469,Ingenieros técnicos no clasificados bajo otros epígrafes,0.0,0.0,0.0963686646681096,zero,668.1269841269841,608.3492063492064,664.1904761904761,24,False,True,,,,,
