event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome
6,bevent_p6,-0.0026232702674779825,0.02001985746739301,0.8957488748986189,-0.04186219090356828,0.03661565036861232,sample4_age_ocup4d,ln_parados
7,bevent_p7,-0.011876972137927273,0.022274996665574844,0.5938968842461536,-0.05553596560245397,0.03178202132659942,sample4_age_ocup4d,ln_parados
8,bevent_p8,0.007445005051227439,0.022546863234036776,0.7412478143395795,-0.03674684688748464,0.051636856989939514,sample4_age_ocup4d,ln_parados
9,bevent_p9,0.014735311558727938,0.021334533754282382,0.4897673740583115,-0.02708037459966553,0.05655099771712141,sample4_age_ocup4d,ln_parados
10,bevent_p10,0.05506028814998637,0.018617510040635936,0.0031019866897539217,0.018569968470339933,0.09155060782963281,sample4_age_ocup4d,ln_parados
11,bevent_p11,0.08568121513668771,0.018626596450881844,4.226138392349199e-06,0.04917308609295929,0.12218934418041613,sample4_age_ocup4d,ln_parados
12,bevent_p12,0.07752362150130902,0.020151964778773738,0.00011959686574813944,0.0380257705349125,0.11702147246770556,sample4_age_ocup4d,ln_parados
13,bevent_p13,0.06688078753858241,0.02083740378189547,0.0013289636391264903,0.026039476126067294,0.10772209895109752,sample4_age_ocup4d,ln_parados
14,bevent_p14,0.07103330527453415,0.022440362262658553,0.0015485606698459886,0.027050195239723386,0.11501641530934492,sample4_age_ocup4d,ln_parados
15,bevent_p15,0.059432009145431675,0.0220563864273824,0.007048400864075655,0.01620149174776217,0.10266252654310118,sample4_age_ocup4d,ln_parados
16,bevent_p16,0.04696422229166577,0.023611488244767328,0.04669665851336258,0.0006857053319218043,0.09324273925140973,sample4_age_ocup4d,ln_parados
17,bevent_p17,0.049986202891206206,0.025126884858283727,0.046662432958865185,0.000737508568970105,0.09923489721344231,sample4_age_ocup4d,ln_parados
18,bevent_p18,0.054632263912439055,0.025817444886329692,0.03433640629780488,0.0040300719352328596,0.10523445588964525,sample4_age_ocup4d,ln_parados
19,bevent_p19,0.048931731759761114,0.027944393039468128,0.07993913249582829,-0.005839278597596413,0.10370274211711863,sample4_age_ocup4d,ln_parados
21,bevent_p21,0.07396119661787898,0.027678480711104313,0.007536577883935136,0.019711374424114525,0.12821101881164343,sample4_age_ocup4d,ln_parados
22,bevent_p22,0.10131663449794812,0.026707698061945197,0.0001485166295471796,0.04896954629653553,0.1536637226993607,sample4_age_ocup4d,ln_parados
23,bevent_p23,0.10917186671789743,0.026951456682983634,5.1067872329113584e-05,0.05634701161924951,0.16199672181654534,sample4_age_ocup4d,ln_parados
24,bevent_p24,0.10214196750418757,0.027839606591945544,0.00024355407667786544,0.0475763385839743,0.15670759642440082,sample4_age_ocup4d,ln_parados
25,bevent_p25,0.09957509948809207,0.02954989097048785,0.0007524237376133058,0.041657313185935886,0.15749288579024825,sample4_age_ocup4d,ln_parados
26,bevent_p26,0.09911027273208292,0.02951878915835675,0.0007864170232647627,0.04125344598170369,0.15696709948246215,sample4_age_ocup4d,ln_parados
27,bevent_p27,0.09476081276608732,0.02962618663458678,0.0013812100780634662,0.036693486962297225,0.15282813856987743,sample4_age_ocup4d,ln_parados
28,bevent_p28,0.08586876768636953,0.03103709757244809,0.005663562583693826,0.025036056444371277,0.14670147892836777,sample4_age_ocup4d,ln_parados
29,bevent_p29,0.10115834795531828,0.0327727500335986,0.002024187419592982,0.03692375788946503,0.16539293802117153,sample4_age_ocup4d,ln_parados
30,bevent_p30,0.10736407758085262,0.032815441799155874,0.0010688224802897217,0.043045811654507105,0.17168234350719813,sample4_age_ocup4d,ln_parados
31,bevent_p31,0.09370730866607521,0.033958547244318994,0.00578966828458638,0.027148556067209978,0.16026606126494045,sample4_age_ocup4d,ln_parados
32,bevent_p32,0.09762356571706722,0.034767960303569115,0.004987189958743032,0.029478363522071754,0.1657687679120627,sample4_age_ocup4d,ln_parados
33,bevent_p33,0.12491228434077731,0.03382024032758558,0.00022125988047227985,0.05862461329870958,0.19119995538284504,sample4_age_ocup4d,ln_parados
34,bevent_p34,0.15462575403587903,0.03265709436903797,2.192399788158994e-06,0.09061784907256461,0.21863365899919346,sample4_age_ocup4d,ln_parados
35,bevent_p35,0.15732260026398032,0.032480494090995723,1.275059379635124e-06,0.0936608318456287,0.22098436868233193,sample4_age_ocup4d,ln_parados
36,bevent_p36,0.1752126897660094,0.03293034391470763,1.0336513511788326e-07,0.11066921569318244,0.23975616383883636,sample4_age_ocup4d,ln_parados
37,bevent_p37,0.16544418024497035,0.03438858333200634,1.501615938703793e-06,0.09804255691423792,0.23284580357570278,sample4_age_ocup4d,ln_parados
38,bevent_p38,0.14332654627777244,0.03523447198033099,4.74604676565793e-05,0.0742669811963237,0.2123861113592212,sample4_age_ocup4d,ln_parados
39,bevent_p39,0.11550131720299969,0.03495949796167907,0.0009536314782681021,0.046980701198108724,0.18402193320789068,sample4_age_ocup4d,ln_parados
40,bevent_p40,0.1259514623207576,0.035012857463706214,0.00032154778721227295,0.05732626169189342,0.19457666294962178,sample4_age_ocup4d,ln_parados
41,bevent_p41,0.1378796901491408,0.036667681899915226,0.00016974290917470825,0.06601103362530697,0.20974834667297465,sample4_age_ocup4d,ln_parados
42,bevent_p42,0.15239057366164,0.03755067361979366,4.943870988927124e-05,0.07879125336684442,0.22598989395643557,sample4_age_ocup4d,ln_parados
