event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome
-2,bevent_m2,-0.0001632642159776184,0.01810097514946421,0.9928034688776257,-0.035641175508927474,0.03531464707697223,sample4_age3039_ocup4d,ln_parados
-1,reference,0.0,,,,,sample4_age3039_ocup4d,ln_parados
0,bevent_0,0.010110912656755202,0.01728659691637051,0.558615654104681,-0.023770817299330994,0.0439926426128414,sample4_age3039_ocup4d,ln_parados
1,bevent_p1,0.023158561938556005,0.02681346135966056,0.38775731710395145,-0.02939582232637869,0.0757129462034907,sample4_age3039_ocup4d,ln_parados
2,bevent_p2,0.011887769825085265,0.02779626703703981,0.6688877190329932,-0.04259291356751277,0.0663684532176833,sample4_age3039_ocup4d,ln_parados
3,bevent_p3,-0.0038910646272988167,0.027190027392973853,0.8862062175621568,-0.05718351831752757,0.049401389062929936,sample4_age3039_ocup4d,ln_parados
4,bevent_p4,0.026829277543960015,0.032507401459488404,0.4091852438244268,-0.03688522931663725,0.09054378440455728,sample4_age3039_ocup4d,ln_parados
5,bevent_p5,0.02792348790090848,0.0343964487921528,0.41689888106383277,-0.039493551731711,0.09534052753352797,sample4_age3039_ocup4d,ln_parados
6,bevent_p6,0.048610109762903767,0.03525947564651985,0.16800589746003425,-0.020498462504275144,0.11771868203008268,sample4_age3039_ocup4d,ln_parados
7,bevent_p7,0.06977265791682753,0.032617018378442615,0.0324236138030336,0.005843301895080005,0.13370201393857506,sample4_age3039_ocup4d,ln_parados
8,bevent_p8,0.08913264230203628,0.03468454730692561,0.010175476502045644,0.02115092958046208,0.15711435502361049,sample4_age3039_ocup4d,ln_parados
9,bevent_p9,0.10157371905331604,0.03817113884299136,0.007790702589938858,0.026758286921052976,0.1763891511855791,sample4_age3039_ocup4d,ln_parados
10,bevent_p10,0.14133870991097533,0.03607033156788203,8.913128817322757e-05,0.07064086003792655,0.2120365597840241,sample4_age3039_ocup4d,ln_parados
11,bevent_p11,0.15291158644770145,0.03572893987775334,1.8708792903332494e-05,0.08288286428730489,0.222940308608098,sample4_age3039_ocup4d,ln_parados
12,bevent_p12,0.12998851843754955,0.04219314777925461,0.0020644742360278467,0.047289948790210506,0.2126870880848886,sample4_age3039_ocup4d,ln_parados
13,bevent_p13,0.1194415376749934,0.040503100641108944,0.0031885762045733568,0.04005546041841987,0.19882761493156692,sample4_age3039_ocup4d,ln_parados
14,bevent_p14,0.1257247693071281,0.04125519007184703,0.0023076138801854107,0.0448645967663079,0.2065849418479483,sample4_age3039_ocup4d,ln_parados
15,bevent_p15,0.12283418545613012,0.03971536462656834,0.0019823556508926643,0.04499207078805617,0.20067630012420407,sample4_age3039_ocup4d,ln_parados
16,bevent_p16,0.12680440424736797,0.03999939305293872,0.0015235595792144618,0.048405593863608085,0.20520321463112784,sample4_age3039_ocup4d,ln_parados
17,bevent_p17,0.13283177241108002,0.042033958517489006,0.0015771164831372975,0.050445213716801565,0.21521833110535848,sample4_age3039_ocup4d,ln_parados
18,bevent_p18,0.15289244139651648,0.04181678999299888,0.00025593646980603957,0.07093153301023868,0.23485334978279426,sample4_age3039_ocup4d,ln_parados
19,bevent_p19,0.1721864687286082,0.04247339809772485,5.03527002555515e-05,0.0889386084570675,0.25543432900014895,sample4_age3039_ocup4d,ln_parados
21,bevent_p21,0.16236933868169223,0.04364907880581806,0.0001993173939733861,0.07681714422228884,0.2479215331410956,sample4_age3039_ocup4d,ln_parados
22,bevent_p22,0.20022995313429542,0.04295809280568425,3.145954858840838e-06,0.11603209123515429,0.28442781503343656,sample4_age3039_ocup4d,ln_parados
23,bevent_p23,0.22031590659632896,0.04407692861737653,5.77958245262522e-07,0.13392512650627098,0.30670668668638695,sample4_age3039_ocup4d,ln_parados
24,bevent_p24,0.21641391542993707,0.046653526101365736,3.50527429460179e-06,0.12497300427126024,0.3078548265886139,sample4_age3039_ocup4d,ln_parados
25,bevent_p25,0.1908542656193287,0.04843481089995143,8.133369665364043e-05,0.09592203625542389,0.2857864949832335,sample4_age3039_ocup4d,ln_parados
26,bevent_p26,0.20608660904265505,0.047252613429517705,1.2924460089491774e-05,0.11347148672080035,0.2987017313645097,sample4_age3039_ocup4d,ln_parados
27,bevent_p27,0.18714839718802256,0.04636328030628938,5.423949008576123e-05,0.09627636778769537,0.27802042658834974,sample4_age3039_ocup4d,ln_parados
28,bevent_p28,0.19805891404183462,0.04728884897656348,2.81077291650611e-05,0.10537277004777021,0.290745058035899,sample4_age3039_ocup4d,ln_parados
29,bevent_p29,0.23514535025583716,0.0489543716497928,1.5602691030291993e-06,0.13919478182224326,0.33109591868943106,sample4_age3039_ocup4d,ln_parados
30,bevent_p30,0.2401650987152355,0.05008585709861459,1.6261952724416773e-06,0.14199681880195092,0.3383333786285201,sample4_age3039_ocup4d,ln_parados
31,bevent_p31,0.24119962082268817,0.05058768983475009,1.8610913261607465e-06,0.142047748746578,0.34035149289879835,sample4_age3039_ocup4d,ln_parados
32,bevent_p32,0.24759489262856632,0.05276284844964522,2.6975585256661105e-06,0.14417970966726168,0.35101007558987096,sample4_age3039_ocup4d,ln_parados
33,bevent_p33,0.24316347376874162,0.055337839678085414,1.1120048700075102e-05,0.1347013079996942,0.351625639537789,sample4_age3039_ocup4d,ln_parados
34,bevent_p34,0.28120577395074825,0.05155296133164422,4.905647355002429e-08,0.18016196974072557,0.38224957816077093,sample4_age3039_ocup4d,ln_parados
35,bevent_p35,0.27665954659460684,0.04860821745707831,1.258390014413635e-08,0.18138744037873336,0.37193165281048035,sample4_age3039_ocup4d,ln_parados
36,bevent_p36,0.27995287028397003,0.047519025411551584,3.8297229831840696e-09,0.18681558047732894,0.37309016009061113,sample4_age3039_ocup4d,ln_parados
37,bevent_p37,0.26099721327653846,0.051209699017877565,3.4574157381506154e-07,0.16062620320149845,0.3613682233515785,sample4_age3039_ocup4d,ln_parados
38,bevent_p38,0.2506855900284812,0.05134996076808678,1.0506629009032764e-06,0.15003966692303108,0.3513315131339313,sample4_age3039_ocup4d,ln_parados
39,bevent_p39,0.2301369806255251,0.05397072422981252,2.007026285988367e-05,0.12435436113509256,0.3359196001159576,sample4_age3039_ocup4d,ln_parados
40,bevent_p40,0.24943809080688165,0.05359009374571368,3.246796339118063e-06,0.14440150706528285,0.3544746745484805,sample4_age3039_ocup4d,ln_parados
41,bevent_p41,0.253161567916254,0.05448602405068178,3.378466733705565e-06,0.1463689607769177,0.3599541750555903,sample4_age3039_ocup4d,ln_parados
42,bevent_p42,0.28606512519152616,0.0565346256255912,4.192596079199973e-07,0.17525725896536742,0.3968729914176849,sample4_age3039_ocup4d,ln_parados
