,event_m12,event_m11,event_m10,event_m9,event_m8,event_m7,event_m6,event_m5,event_m4,event_m3,event_m2,event_0,event_p1,event_p2,event_p3,event_p4,event_p5,event_p6,event_p7,event_p8,event_p9,event_p10,event_p11,event_p12
event_m2,1.232807739519187e-05,1.467220881387759e-05,1.6892945207766095e-05,1.3949390704422972e-05,1.4314050433838511e-05,1.5442007438649203e-05,1.5961902164260376e-05,1.949184255730381e-05,3.069790536781964e-05,3.315802266991999e-05,2.389930568886018e-05,4.201000365602389e-06,1.0497625549584406e-05,1.0077913658020482e-05,7.948416141625949e-06,1.6053504047764177e-05,2.172444597259172e-05,1.739353819897645e-05,2.216091631359833e-05,2.682006847024811e-05,2.398266032411193e-05,1.6172042105150814e-05,1.0418748324242825e-05,5.426656319220285e-06
event_0,5.794143971897705e-05,6.91665491957464e-05,7.650354486791458e-05,6.136289462407774e-05,7.389566990266787e-05,8.439455448877477e-05,8.103068269049057e-05,6.938357463443422e-05,7.179063629196443e-05,4.3632969573481525e-05,4.201000365641793e-06,8.248550094978234e-05,8.707342989975094e-05,9.254372091399278e-05,8.336002269000543e-05,9.343490012459994e-05,9.348666602457515e-05,9.73714200939128e-05,9.349548803159331e-05,9.511190009192907e-05,8.731122827735509e-05,3.6186550266124396e-05,2.485833372838515e-05,7.207262583198076e-05
event_p1,5.561559046817305e-05,8.384121201531631e-05,9.353782301199697e-05,7.063408335597939e-05,8.507539570440243e-05,0.00010216495311070872,0.00010046406213029752,9.451566052020771e-05,0.00010007429540288427,6.516536499381094e-05,1.0497625549600346e-05,8.707342989972889e-05,0.00013378067102792868,0.0001350081349269605,0.00011721550007352069,0.0001357871025185967,0.00014434563670337157,0.00015093302884129506,0.000147421313093294,0.0001502835307457948,0.00013136361145094802,6.93059512860096e-05,5.5450264604391125e-05,0.00010643989780544646
event_p2,6.743382930174186e-05,9.717281880463321e-05,0.0001077704075836625,8.636292490074688e-05,0.0001021954524548486,0.00011723896759041852,0.00011139772740916572,9.811634030842599e-05,0.00010741955539742126,6.507633433230086e-05,1.0077913658046083e-05,9.254372091397698e-05,0.00013500813492696727,0.00015967868528593015,0.00014350262241587039,0.00015731231230762098,0.00016306515882105526,0.0001758178910248365,0.00017278722720073336,0.00017009820863733068,0.00015319347732711662,8.761931161253496e-05,6.95690748708429e-05,0.00013005793026443267
event_p3,6.87445632651048e-05,9.213793553298494e-05,0.00010112810936458432,8.52721290082215e-05,9.57823638335465e-05,0.00011041612046008774,0.00010018417583535065,8.997399691335207e-05,0.00010175889807301955,6.530550799610117e-05,7.948416141653859e-06,8.336002268999129e-05,0.00011721550007353009,0.00014350262241587226,0.00015396936441493717,0.0001567384750758928,0.0001561613351480477,0.0001652912128732238,0.00015869733462909832,0.0001569395254186258,0.00014372066564101696,8.533146245854345e-05,6.566922663216926e-05,0.00011522423003710579
event_p4,7.656720116873196e-05,0.00010543908417522304,0.0001169487320249199,8.798162835294362e-05,0.00010455643494787231,0.00011831325409638997,0.0001120550345526119,0.00010625780051132952,0.00012104040833640666,8.383437414539069e-05,1.6053504047802798e-05,9.343490012459816e-05,0.00013578710251861906,0.00015731231230763567,0.0001567384750759047,0.00019306440366797785,0.00019413576245221262,0.00019484388498970973,0.00018383618444104752,0.00018238363274417345,0.00016476473417868572,9.996943162933135e-05,8.414802598644036e-05,0.00013625353826942848
event_p5,7.52993867472004e-05,0.00010969082056294356,0.00012027109520008568,8.926052914571316e-05,0.00010846474645852464,0.00012089711305745888,0.00011668974085315505,0.00010966104897189795,0.00012789515884626662,9.093667447644374e-05,2.1724445972611827e-05,9.348666602455635e-05,0.0001443456367033772,0.00016306515882105293,0.0001561613351480441,0.0001941357624521931,0.00022661910519085465,0.0002244263496841179,0.0002176525632158478,0.00021626699253251584,0.00019287738025220737,0.00013331887068109124,0.00012416945272913983,0.00017345468884657095
event_p6,7.049430758617912e-05,0.00010260258465469983,0.00011322163864926653,8.499494478145757e-05,0.00010769160545316164,0.00012614625264169898,0.00012612971323758336,0.00011160051897145258,0.0001269759881086164,7.757150687998744e-05,1.7393538199012244e-05,9.737142009390701e-05,0.0001509330288413101,0.00017581789102484675,0.00016529121287323293,0.00019484388498970426,0.0002244263496841329,0.0002514358614729397,0.00024653079096220016,0.0002400333685169222,0.00021695574050025732,0.0001505972840522102,0.0001356383861618142,0.00019487604571379836
event_p7,6.753954636386999e-05,9.68817616803018e-05,0.00010664862378137814,8.137212022011036e-05,0.00010380331995169351,0.0001230602040068042,0.00012212759223889562,0.00010564295702548732,0.00013211581267115704,7.197789406799009e-05,2.216091631362272e-05,9.349548803157576e-05,0.0001474213130933004,0.00017278722720073244,0.0001586973346290958,0.0001838361844410325,0.0002176525632158494,0.0002465307909621867,0.0002658377566203309,0.0002629468542942363,0.00023595674922545357,0.00016623116534629514,0.0001462313003319275,0.00020348662261750384
event_p8,7.243980159037134e-05,9.931147464797473e-05,0.00010588358363401655,7.887422827802619e-05,9.701054745422339e-05,0.00011834024121394261,0.000112706690315412,9.822058593677573e-05,0.0001340030550679943,7.808159152182784e-05,2.682006847029654e-05,9.511190009193338e-05,0.00015028353074582448,0.0001700982086373562,0.00015693952541864523,0.00018238363274418243,0.00021626699253254314,0.00024003336851693662,0.00026294685429426067,0.00028325072817489655,0.00025890208595031206,0.0001864899111808443,0.00015801689637552779,0.00021331945328796628
event_p9,6.99180348034075e-05,8.93094088426163e-05,9.438598248306071e-05,6.901582890122669e-05,8.660227530304457e-05,0.00010578137605245448,9.643937382600908e-05,7.560578328839806e-05,0.00011295439497048482,6.529626418897173e-05,2.3982660324124144e-05,8.731122827732684e-05,0.0001313636114509448,0.0001531934773271073,0.00014372066564100476,0.00016476473417866003,0.0001928773802521996,0.0002169557405002371,0.0002359567492254436,0.0002589020859502768,0.0002705178973630087,0.0002035312712204443,0.0001759665483182246,0.0002249772236518746
