cno2,event_time,estimate,se,ci95_low,ci95_high
38,14,0.1644521914628066,0.08519058785712913,-0.0025213607371664948,0.33142574366277966
38,15,0.16698313100701212,0.09793500336029784,-0.024969475579171646,0.35893573759319586
38,16,0.15842937683350494,0.10375672816806412,-0.044933810375900746,0.3617925640429106
38,17,0.1815014965157947,0.10380158897382058,-0.021949617872893623,0.384952610904483
38,18,0.05074218783603315,0.15531783008094818,-0.25368075912262533,0.3551651347946916
38,19,0.09142469348334985,0.16359208772640377,-0.22921579846040152,0.41206518542710124
38,20,0.11302736456868966,0.176152516228439,-0.23223156723905075,0.4582862963764301
38,21,0.1025000688828182,0.17643183102499155,-0.2433063199261652,0.4483064576918016
38,22,0.08341648575285086,0.15454901932895368,-0.21949959213189835,0.3863325636376001
38,23,0.07929582771383463,0.15690115431655177,-0.22823043474660681,0.3868220901742761
38,24,0.11296545629857585,0.16313032793099247,-0.2067699864461694,0.4327008990433211
38,25,0.13094915694839446,0.1731404711668441,-0.20840616653862,0.47030448043540896
38,26,0.14170871710170554,0.16979359328530688,-0.19108672573749594,0.474504159940907
38,27,0.10368478234182656,0.160714468747089,-0.2113155764024679,0.418685141086121
38,28,0.08733866093503286,0.15643452837509725,-0.21927301468015775,0.39395033655022343
38,29,0.1169172959158064,0.1620392329992745,-0.20067960076277164,0.43451419259438445
38,30,0.13125985037667112,0.17267057090569263,-0.2071744685984864,0.4696941693518286
38,31,0.1189241329957307,0.1765653772137644,-0.2271440063432475,0.46499227233470886
38,32,0.14840799657254408,0.19703086397046107,-0.2377724968095596,0.5345884899546478
38,33,0.1769551262701638,0.20425947808476605,-0.22339345077597766,0.5773037033163053
38,34,0.18153051143329002,0.1828340533284708,-0.17682423309051276,0.5398852559570928
38,35,0.1729598357612352,0.1827350018503374,-0.1852007678654261,0.5311204393878965
38,36,0.19221271052032443,0.1873736926449582,-0.17503972706379364,0.5594651481044425
38,37,0.21868183669393199,0.18482154676750015,-0.14356839497036833,0.5809320683582323
38,38,0.2140326392826263,0.18581165505546143,-0.15015820462607807,0.5782234831913307
38,39,0.17561507920020286,0.16192868257018667,-0.141765138637363,0.49299529703776873
38,40,0.19534429434759149,0.15912847121483079,-0.11654750923347684,0.5072360979286599
38,41,0.23745322165302377,0.1720954202291767,-0.09985380199616259,0.5747602453022101
38,42,0.30466051893966833,0.1546269786870962,0.001591640712959752,0.6077293971663769
