cno4,occupation_title,exposure_nearest,exposure_weighted,exposure_rf,exposure_group,mean_parados,mean_contratos,pre_mean_parados
9443,Barrenderos y afines,0.0,0.0,0.0262053212698412,zero,10543.698412698413,5175.952380952381,11550.57142857143
7312,Soldadores y oxicortadores,0.0,0.0,0.0290572735497835,zero,10063.698412698413,2642.6190476190477,12483.095238095239
2824,Profesionales del trabajo y la educación social,0.0,0.0243039472195637,0.1111169107142857,zero,9291.095238095239,5509.142857142857,10451.190476190477
9490,Otras ocupaciones elementales,0.0,0.0,0.0372789115873016,zero,8790.047619047618,9699.380952380952,14726.0
3723,Instructores de actividades deportivas,0.0,0.0569791581994414,0.0630766390476191,zero,8365.349206349207,4776.047619047619,10220.380952380952
2251,Maestros de educación infantil,0.0,0.0,0.0836888948268398,zero,8005.555555555556,1303.7301587301588,9358.285714285714
4424,Teleoperadores,0.0,0.2395099421791161,0.0791169183333333,zero,7102.047619047619,8767.619047619048,7359.952380952381
7703,"Panaderos, pasteleros y confiteros",0.0,0.0,0.0450327859523809,zero,7082.333333333333,2916.253968253968,8186.0952380952385
7521,Mecánicos y reparadores de equipos eléctricos,0.0,0.0,0.0188003016666666,zero,7059.0952380952385,1154.015873015873,8283.52380952381
3831,Técnicos de grabación audiovisual,0.0,0.0976550732267961,0.1051393581746032,zero,6939.063492063492,9512.0,7526.571428571428
7191,Mantenedores de edificios,0.0,0.0,0.0292557428571428,zero,6893.222222222223,3047.809523809524,7931.666666666667
8333,Operadores de carretillas elevadoras,0.0,0.0,0.0358731735714285,zero,6749.841269841269,6198.603174603175,7586.380952380952
3110,Delineantes y dibujantes técnicos,0.0,0.0,0.0470823722799422,zero,6730.571428571428,1103.1746031746031,8355.0
7705,Trabajadores conserveros de frutas y hortalizas y trabajadores de la elaboración de bebidas no alcohólicas,0.0,0.0,0.0629830361111111,zero,6594.412698412699,3509.4444444444443,8060.190476190476
7132,Instaladores de cerramientos metálicos y carpinteros metálicos (excepto montadores de estructuras metálicas),0.0,0.0,0.0323768242857143,zero,6028.222222222223,1317.4761904761904,7235.142857142857
7701,Matarifes y trabajadores de las industrias cárnicas,0.0,0.0,0.0442992735714285,zero,5856.825396825397,4168.380952380952,6617.285714285715
5941,Vigilantes de seguridad y similares habilitados para ir armados,0.0,0.0,0.0349288566666666,zero,5776.619047619048,7247.158730158731,6852.666666666667
7403,Mecánicos y ajustadores de maquinaria agrícola e industrial,0.0,0.0081929009414029,0.01699223,zero,5728.047619047619,1837.063492063492,6706.190476190476
4423,Telefonistas,0.0,0.3862999999999999,0.0615523396031745,zero,5394.952380952381,1657.7936507936508,6420.333333333333
4121,Empleados de control de abastecimientos e inventario,0.0,0.0,0.0904999643506493,zero,5342.650793650793,2609.2698412698414,6381.047619047619
9543,Peones forestales y de la caza,0.0,0.0,0.043093252063492,zero,5317.9047619047615,2141.0476190476193,6121.476190476191
7313,Chapistas y caldereros,0.0,0.0,0.0351965569047619,zero,5248.285714285715,1185.7460317460318,6624.0
8209,Montadores y ensambladores no clasificados en otros epígrafes,0.0,0.0,0.0489903715079365,zero,5131.31746031746,4764.603174603175,6083.142857142857
3732,Diseñadores y decoradores de interior,0.0,0.0,0.0570313139682539,zero,4823.523809523809,276.23809523809524,5368.0952380952385
7240,"Soladores, colocadores de parquet y afines",0.0,0.0,0.0200046903968253,zero,4762.603174603175,461.63492063492066,5902.952380952381
4221,Empleados de servicios de correos (excepto empleados de mostrador),0.0,0.0533968763060235,0.0661492609523809,zero,4421.746031746032,6975.9682539682535,5499.0952380952385
8156,"Operadores de máquinas para la fabricación del calzado, marroquinería y guantería de piel",0.0,0.0,0.0250883071428571,zero,4308.650793650793,297.25396825396825,5545.047619047619
3123,Técnicos en electricidad,0.0,0.0,0.0525234627777777,zero,4307.31746031746,2046.5238095238096,5095.523809523809
8331,Operadores de maquinaria de movimientos de tierras y equipos similares,0.0,0.003484272347514,0.0165979033333333,zero,4217.190476190476,1434.888888888889,5394.190476190476
