cno2,occupations,treated_occupations,control_occupations,mean_exposure,mean_parados,total_mean_parados,cno2_label,contribution_to_baseline_beta,share_of_beta,baseline_beta_reconstructed
26,13,10,1,0.26642307692307693,2946.7264957264956,38307.444444444445,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,-0.0007402074191046059,-0.008308083521509647,0.089094845663047
34,5,4,1,0.22962,833.2952380952381,4166.476190476191,Profesionales de apoyo en finanzas y matemáticas,-0.0010064702214061159,-0.01129661557765692,0.089094845663047
31,25,6,12,0.074428,1710.4647619047619,42761.619047619046,Técnicos de las ciencias y de las ingenierías,-0.0010206454463461323,-0.011455718215239644,0.089094845663047
11,4,1,2,0.053524999999999996,376.8174603174603,1507.2698412698412,"Miembros del poder ejecutivo y de los cuerpos legislativos, directivos de la Administración Pública y organizaciones de interés social, directores ejecutivos",-0.001119187569122992,-0.012561754395486725,0.089094845663047
00,3,0,3,0.0,449.4814814814815,1348.4444444444446,Ocupaciones militares,-0.0011303711746981579,-0.012687279115709731,0.089094845663047
32,8,1,5,0.025575,720.6111111111112,5764.88888888889,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",-0.0012245702483130426,-0.01374456893886226,0.089094845663047
44,13,6,5,0.17891538461538462,5143.761904761905,66868.90476190476,"Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros)",-0.002257330588992248,-0.02533626465361844,0.089094845663047
23,9,6,0,0.18943333333333331,2011.5706379614426,18104.135741652983,Otros profesionales de la enseñanza,-0.0023245026535076733,-0.02609020349279066,0.089094845663047
29,13,6,1,0.1707923076923077,2117.769230769231,27531.0,Profesionales de la cultura y el espectáculo,-0.0023670547382121684,-0.02656780782991949,0.089094845663047
14,7,4,3,0.09192857142857143,540.764172335601,3785.3492063492067,"Directores y gerentes de empresas de alojamiento, restauración y comercio",-0.0024611961265549086,-0.027624450193932094,0.089094845663047
56,5,0,4,0.0147,10262.495238095238,51312.47619047619,Trabajadores de los cuidados a las personas en servicios de salud,-0.0028436867033466632,-0.03191752207643266,0.089094845663047
21,16,1,9,0.030425,943.8531746031746,15101.650793650793,Profesionales de la salud,-0.003199004772548011,-0.035905609900784986,0.089094845663047
98,3,0,3,0.0,28794.56613756614,86383.69841269842,"Peones del transporte, descargadores y reponedores",-0.0033410166783557045,-0.03749955065853406,0.089094845663047
55,1,0,0,0.0846,36232.269841269845,36232.269841269845,,,,
61,2,0,0,0.0203,25526.396825396827,51052.793650793654,,,,
