event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome
-18,bevent_m18,-0.02206229229228096,0.01927024122201865,0.25225503178186126,-0.059831965087437516,0.015707380502875595,sample3_gender_ocup4d,ln_parados
-17,bevent_m17,-0.035917060049588,0.018700780751007916,0.054779857716031,-0.07257059032156352,0.0007364702223875141,sample3_gender_ocup4d,ln_parados
-16,bevent_m16,-0.03803850537235273,0.018073338966072258,0.03531960481074181,-0.07346224974585436,-0.0026147609988511067,sample3_gender_ocup4d,ln_parados
-15,bevent_m15,-0.02275802257870549,0.017010041648681015,0.1809235199714152,-0.05609770421012028,0.010581659052709302,sample3_gender_ocup4d,ln_parados
-14,bevent_m14,0.0018625579091848532,0.014261919843767392,0.8960944509080377,-0.026090804984599234,0.02981592080296894,sample3_gender_ocup4d,ln_parados
-13,bevent_m13,0.0052660960365303044,0.014185679258647195,0.7104690482303315,-0.022537835310418197,0.033070027383478806,sample3_gender_ocup4d,ln_parados
-12,bevent_m12,-0.008789129337591767,0.014712939750920685,0.5502576329298128,-0.03762649124939631,0.020048232574212774,sample3_gender_ocup4d,ln_parados
-11,bevent_m11,-0.017729998969520627,0.01461508934542267,0.22508023601503924,-0.04637557408654906,0.010915576147507804,sample3_gender_ocup4d,ln_parados
-10,bevent_m10,-0.023477518647099932,0.014803911850523006,0.1127620748635787,-0.05249318587412502,0.00553814857992516,sample3_gender_ocup4d,ln_parados
-9,bevent_m9,-0.03553383070566768,0.01363004177559737,0.009133325831095052,-0.06224871258583853,-0.008818948825496834,sample3_gender_ocup4d,ln_parados
-8,bevent_m8,-0.027321833336435286,0.013921542516157038,0.04969756587189633,-0.054608056668103075,-3.561000476749385e-05,sample3_gender_ocup4d,ln_parados
-7,bevent_m7,-0.03356965034287737,0.013958578266016262,0.016174781547156458,-0.060928463744269246,-0.006210836941485498,sample3_gender_ocup4d,ln_parados
-6,bevent_m6,-0.03242531489343553,0.013600530653691364,0.01711995807327482,-0.059082354974670605,-0.0057682748122004565,sample3_gender_ocup4d,ln_parados
-5,bevent_m5,-0.04756604408214235,0.012738495610674827,0.0001884330213972607,-0.07253349547906501,-0.02259859268521969,sample3_gender_ocup4d,ln_parados
-4,bevent_m4,-0.051542922878621195,0.013065640264490627,7.982618378465922e-05,-0.07715157779702282,-0.025934267960219564,sample3_gender_ocup4d,ln_parados
-3,bevent_m3,-0.04451547364356864,0.010996210064306462,5.160068442733312e-05,-0.06606804536960931,-0.022962901917527978,sample3_gender_ocup4d,ln_parados
-2,bevent_m2,-0.012964229194840637,0.005760784302639105,0.024421801375741126,-0.024255366428013285,-0.0016730919616679916,sample3_gender_ocup4d,ln_parados
-1,reference,0.0,,,,,sample3_gender_ocup4d,ln_parados
0,bevent_0,-0.013006981804824042,0.009470424554692634,0.16961816389115092,-0.031569013932021606,0.005555050322373519,sample3_gender_ocup4d,ln_parados
1,bevent_p1,-0.015697912037833855,0.01221746443647119,0.19883604219747975,-0.03964414233331739,0.008248318257649677,sample3_gender_ocup4d,ln_parados
2,bevent_p2,-0.01545446881268181,0.013713497336697139,0.25976229611744084,-0.0423329235926082,0.01142398596724458,sample3_gender_ocup4d,ln_parados
3,bevent_p3,-0.010721790932904235,0.013101119249115233,0.4131360135240567,-0.03639998466117009,0.014956402795361621,sample3_gender_ocup4d,ln_parados
4,bevent_p4,-0.01613088816688915,0.014760665693482049,0.2744687482986943,-0.04506179292611397,0.012800016592335664,sample3_gender_ocup4d,ln_parados
5,bevent_p5,-0.011613604644130415,0.015457596594175031,0.4524599721309026,-0.04191049396871348,0.018683284680452644,sample3_gender_ocup4d,ln_parados
6,bevent_p6,-0.005500476975086155,0.016665933759904532,0.7413673717865079,-0.03816570714449904,0.027164753194326728,sample3_gender_ocup4d,ln_parados
7,bevent_p7,0.003890079880092323,0.016487977166880427,0.813483627016474,-0.02842635536699331,0.03620651512717796,sample3_gender_ocup4d,ln_parados
8,bevent_p8,0.006396855087681008,0.01631459269992746,0.6949887072813696,-0.025579746604176813,0.03837345677953883,sample3_gender_ocup4d,ln_parados
9,bevent_p9,0.013179781117704986,0.015667705249475593,0.4002320587634798,-0.017528921171267177,0.04388848340667715,sample3_gender_ocup4d,ln_parados
10,bevent_p10,0.03759582004487852,0.013754730773320518,0.00627029916915034,0.010636547729170304,0.06455509236058674,sample3_gender_ocup4d,ln_parados
11,bevent_p11,0.046097943814290415,0.013437709297801552,0.0006024894618537058,0.019760033590599375,0.07243585403798146,sample3_gender_ocup4d,ln_parados
12,bevent_p12,0.03964961970902178,0.016281824111867113,0.014883253361961835,0.007737244449762239,0.07156199496828133,sample3_gender_ocup4d,ln_parados
13,bevent_p13,0.03256701136610163,0.019201801894614495,0.08987843055358069,-0.0050685203473427795,0.07020254307954604,sample3_gender_ocup4d,ln_parados
14,bevent_p14,0.03904753312438297,0.01987389948932223,0.04944149533667863,9.469012531140159e-05,0.07800037612345453,sample3_gender_ocup4d,ln_parados
15,bevent_p15,0.04057474747246445,0.018894431808183863,0.031757895135850145,0.0035416611284240784,0.07760783381650482,sample3_gender_ocup4d,ln_parados
