term,beta_log_points,se,p_value_normal,ci95_low,ci95_high,effect_pct,event_time,pretrend_wald_chi2,pretrend_df,pretrend_p_value,nobs,clusters,fe_cols,fe_groups
event_m5,-0.011434633185886084,0.04057667303697579,0.7780944760796922,-0.09096491233835863,0.06809564596658646,-1.1369506238448124,-5,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m4,0.020375560436646137,0.03131622977254481,0.5152795483901533,-0.04100424991754168,0.08175537079083395,2.0584559243967293,-4,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m3,-0.017334573898955083,0.0294656339852571,0.5563322796721832,-0.07508721651005901,0.040418068712148834,-1.7185194560626504,-3,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m2,0.019046427774253645,0.03282563583220948,0.5617593385424664,-0.04529181845687693,0.08338467400538421,1.9228968051373085,-2,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
reference,0.0,,,,,0.0,-1,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_0,0.023930792321021185,0.022362813233756468,0.2845673380532898,-0.019900321617141493,0.06776190625918387,2.421943158808637,0,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p1,0.06368732544491004,0.041976860675373144,0.12921600134278477,-0.01858732147882132,0.1459619723686414,6.575911090306952,1,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p2,0.030639923083263788,0.03933559138157405,0.4360171933409118,-0.04645783602462136,0.10773768219114893,3.111415662742556,2,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p3,0.03564047063962271,0.039634874719663434,0.3685355082615729,-0.042043883810917615,0.11332482509016303,3.6283205269247443,3,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p4,0.038201597483755824,0.046675001238128226,0.4130948672154884,-0.0532814049429755,0.12968459991048714,3.894065959058435,4,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p5,0.05064406570705728,0.04932793235055745,0.3045705575654598,-0.04603868170003531,0.14732681311414988,5.194840212931151,5,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p6,0.06986653597154262,0.05770344820207345,0.2259773740891875,-0.04323222250452134,0.18296529444760656,7.236504954347267,6,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p7,0.047074533797498604,0.05070897830955835,0.3532377671618938,-0.05231506368923577,0.14646413128423297,4.8200132504615745,7,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p8,0.05886899659245487,0.05153263730576179,0.2533030155245828,-0.04213497252683823,0.15987296571174797,6.063628467104065,8,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p9,0.02705529448725919,0.06675629723490951,0.6852683772072845,-0.10378704809316347,0.15789763706768184,2.7424612109977264,9,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p10,0.036960331118468026,0.061623333928595696,0.5486540765671861,-0.08382140338157953,0.1577420656185156,3.7651857533103517,10,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p11,0.04648234654448439,0.06255591842831007,0.4574497511171969,-0.07612725357500336,0.16909194666397212,4.757958550568486,11,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_p12,0.03013519061731847,0.06617960706665109,0.648854128563497,-0.09957683923331766,0.1598472204679546,3.059385115505764,12,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
