event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome,note
19,cevent_p19,-0.004485253254266132,0.006224506565920553,0.47116812947191766,-0.016685286123470415,0.0077147796149381505,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
21,cevent_p21,-0.0006519231112609805,0.0063358017675585925,0.9180462073009616,-0.01307009457567582,0.01176624835315386,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
22,cevent_p22,0.005403218369633551,0.006203326584717117,0.38374351036746246,-0.006755301736411999,0.0175617384756791,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
23,cevent_p23,0.008847603766917282,0.006371977459278527,0.1649794454053799,-0.0036414720532686306,0.021336679587103197,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
24,cevent_p24,0.0053910600893650774,0.006881958217557588,0.43341494509778755,-0.008097578017047795,0.01887969819577795,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
25,cevent_p25,0.0029685693595117375,0.007357785985755328,0.6866101525122754,-0.011452691172568707,0.01738982989159218,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
26,cevent_p26,0.004651300287757461,0.00747640523529974,0.5338560118289133,-0.010002453973430029,0.01930505454894495,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
27,cevent_p27,0.004207008371992761,0.007579168151613089,0.5788432165329218,-0.010648161205168894,0.019062177949154414,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
28,cevent_p28,0.0037814523577658927,0.0077593166655813405,0.6260149425039663,-0.011426808306773534,0.01898971302230532,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
29,cevent_p29,0.004549936673087601,0.00818711102777842,0.5783859695467464,-0.011496800941358104,0.020596674287533305,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
30,cevent_p30,0.0036766419669516212,0.008434276026148612,0.6628971513802455,-0.01285453904429966,0.0202078229782029,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
31,cevent_p31,0.0017376797170557152,0.008467077701807728,0.8373941515435506,-0.01485779257848743,0.01833315201259886,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
32,cevent_p32,0.0010451649007007242,0.008574986796114382,0.9029898519432573,-0.015761809219683467,0.017852139021084915,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
33,cevent_p33,0.006844510848580986,0.008511759844739383,0.4213253329405229,-0.009838538447108205,0.023527560144270175,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
34,cevent_p34,0.011965030648842833,0.00825935295953995,0.14743132524599178,-0.00422330115185547,0.028153362449541135,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
35,cevent_p35,0.016147016101786378,0.008359670974812022,0.053416644181407236,-0.0002379390088451845,0.03253197121241794,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
36,cevent_p36,0.01552231455985539,0.008676253956715896,0.07360560500790081,-0.0014831431953077658,0.03252777231501855,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
37,cevent_p37,0.011651944842719206,0.008965547230875719,0.19372587352136317,-0.005920527729797202,0.029224417415235612,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
38,cevent_p38,0.011599273810399421,0.009099094888852098,0.20238985978694557,-0.006234952171750692,0.029433499792549535,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
39,cevent_p39,0.009308858595889919,0.008993014544138847,0.30061238633919407,-0.008317449910622223,0.026935167102402062,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
40,cevent_p40,0.011065930480703543,0.009158743232966298,0.22695619610058748,-0.0068852062559104,0.029017067217317484,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
41,cevent_p41,0.012288715036052477,0.009568697083610697,0.1990502621926029,-0.0064659312478244895,0.031043361319929443,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
42,cevent_p42,0.014162704910951044,0.00978910746865066,0.14795797738701788,-0.005023945727604248,0.03334935554950633,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
